x,y,z,intensity,beamNumber
-13.22512,-0.017119851,-0.18337327,4.0,55.0
-11.878929,-0.013598641,-0.17080505,11.0,56.0
-10.787249,-0.010266488,-0.12849216,3.0,57.0
-9.855609,-0.008224301,-0.14639181,4.0,58.0
-9.093837,-0.006232429,-0.1393264,3.0,59.0
-8.41692,-0.0043738037,-0.12707514,4.0,60.0
-7.840038,-0.00280276,-0.11750457,4.0,61.0
-5.7024126,0.0032321962,-0.06765446,5.0,62.0
-45.542717,-3.257104,-0.42178744,12.0,27.0
-41.720665,-1.4612759,-0.36263618,5.0,28.0
-41.767418,0.053054858,-0.50958055,4.0,29.0
-39.109737,1.4730811,-0.4868935,3.0,30.0
-36.50387,2.7066436,-0.44911027,3.0,31.0
-33.800423,3.7461877,-0.39072198,3.0,32.0
-34.660038,-2.476209,-0.45332128,7.0,33.0
-32.212498,-1.1256192,-0.3907382,4.0,34.0
-30.454807,0.043751396,-0.36363688,5.0,35.0
-28.796902,1.08953,-0.3361182,5.0,36.0
-27.320824,2.0301926,-0.31217787,7.0,37.0
-26.030325,2.8885808,-0.3004317,6.0,38.0
-26.226118,-1.8683456,-0.317408,4.0,39.0
-24.988329,-0.8687157,-0.29282388,5.0,40.0
-24.049442,0.03838308,-0.28782195,5.0,41.0
-23.08298,0.87667245,-0.27783668,5.0,42.0
-22.196413,1.6522913,-0.26876923,4.0,43.0
-21.364107,2.373335,-0.26511502,4.0,44.0
-21.464203,-1.5256863,-0.27352077,5.0,45.0
-20.593077,-0.71268445,-0.25049505,5.0,46.0
-20.034916,0.034776065,-0.2567491,3.0,47.0
-19.279562,0.73496276,-0.2407241,4.0,48.0
-18.580732,1.3858172,-0.22518359,4.0,49.0
-18.133055,2.0165398,-0.24240273,11.0,50.0
-18.158527,-1.2878039,-0.24235904,3.0,51.0
-17.516903,-0.60349095,-0.2215347,5.0,52.0
-17.04943,0.03231335,-0.2187394,5.0,53.0
-14.982275,0.030313265,-0.21242149,4.0,54.0
-13.2093725,0.028975166,-0.18141529,4.0,55.0
-11.87896,0.027775392,-0.17141706,9.0,56.0
-10.783355,0.027302267,-0.12826249,4.0,57.0
-9.863445,0.026070481,-0.1486266,3.0,58.0
-9.08608,0.025440957,-0.1379349,3.0,59.0
-8.416941,0.024917107,-0.1275084,3.0,60.0
-7.828487,0.02450967,-0.114728235,4.0,61.0
-5.6949253,0.023079924,-0.0651689,6.0,62.0
-45.542717,-3.257104,-0.42178744,12.0,27.0
-41.720665,-1.4612759,-0.36263618,5.0,28.0
-41.767418,0.053054858,-0.50958055,4.0,29.0
-39.109737,1.4730811,-0.4868935,3.0,30.0
-36.50387,2.7066436,-0.44911027,3.0,31.0
-33.800423,3.7461877,-0.39072198,3.0,32.0
-34.660038,-2.476209,-0.45332128,7.0,33.0
-32.212498,-1.1256192,-0.3907382,4.0,34.0
-30.454807,0.043751396,-0.36363688,5.0,35.0
-28.796902,1.08953,-0.3361182,5.0,36.0
-27.320824,2.0301926,-0.31217787,7.0,37.0
-26.030325,2.8885808,-0.3004317,6.0,38.0
-26.226118,-1.8683456,-0.317408,4.0,39.0
-24.988329,-0.8687157,-0.29282388,5.0,40.0
-24.049442,0.03838308,-0.28782195,5.0,41.0
-23.08298,0.87667245,-0.27783668,5.0,42.0
-22.196413,1.6522913,-0.26876923,4.0,43.0
-21.364107,2.373335,-0.26511502,4.0,44.0
-21.464203,-1.5256863,-0.27352077,5.0,45.0
-20.593077,-0.71268445,-0.25049505,5.0,46.0
-20.034916,0.034776065,-0.2567491,3.0,47.0
-19.279562,0.73496276,-0.2407241,4.0,48.0
-18.580732,1.3858172,-0.22518359,4.0,49.0
-18.133055,2.0165398,-0.24240273,11.0,50.0
-18.158527,-1.2878039,-0.24235904,3.0,51.0
-17.516903,-0.60349095,-0.2215347,5.0,52.0
-17.04943,0.03231335,-0.2187394,5.0,53.0
-14.982275,0.030313265,-0.21242149,4.0,54.0
-13.2093725,0.028975166,-0.18141529,4.0,55.0
-11.87896,0.027775392,-0.17141706,9.0,56.0
-10.783355,0.027302267,-0.12826249,4.0,57.0
-9.863445,0.026070481,-0.1486266,3.0,58.0
-9.08608,0.025440957,-0.1379349,3.0,59.0
-8.416941,0.024917107,-0.1275084,3.0,60.0
-7.828487,0.02450967,-0.114728235,4.0,61.0
-5.6949253,0.023079924,-0.0651689,6.0,62.0
-45.74113,-3.1111915,-0.4344814,8.0,27.0
-41.689636,-1.3145812,-0.36286587,6.0,28.0
-41.978626,0.19950613,-0.5245461,4.0,29.0
-40.763664,1.6758734,-0.595205,1.0,30.0
-36.32313,2.8208528,-0.43914515,4.0,31.0
-33.810978,3.8667367,-0.39380273,3.0,32.0
-34.557056,-2.3475661,-0.4473782,9.0,33.0
-32.16046,-1.0114306,-0.3883196,4.0,34.0
-30.406662,0.14979391,-0.36144865,5.0,35.0
-28.673466,1.1851872,-0.3277052,6.0,36.0
-27.305674,2.1248379,-0.31271031,7.0,37.0
-25.972628,2.9739554,-0.29725403,7.0,38.0
-26.216627,-1.77578,-0.317514,4.0,39.0
-24.95145,-0.7802606,-0.2905009,6.0,40.0
-24.02134,0.12214446,-0.28637552,4.0,41.0
-23.040056,0.9555701,-0.27497387,5.0,42.0
-22.174694,1.7284551,-0.268114,4.0,43.0
-21.339937,2.446014,-0.26429364,5.0,44.0
-21.437702,-1.4486262,-0.27137095,5.0,45.0
-20.579594,-0.6403613,-0.24986506,5.0,46.0
-20.038696,0.104625374,-0.2582281,3.0,47.0
-19.280901,0.8023156,-0.24211195,4.0,48.0
-18.556038,1.449069,-0.22360888,4.0,49.0
